sleeper_id,weight,status,sport,fantasy_positions,college,player_id,practice_description,rotowire_id,active,position,number,last_name,height,injury_status,injury_body_part,injury_notes,practice_participation,high_school,team,sportradar_id,yahoo_id,years_exp,fantasy_data_id,hashtag,search_last_name,first_name,birth_city,espn_id,birth_date,search_first_name,news_updated,gsis_id,birth_country,birth_state,search_full_name,depth_chart_position,rotoworld_id,depth_chart_order,injury_start_date,stats_id,search_rank,pandascore_id,metadata,full_name,age
10,246,Inactive,nfl,LB,North Carolina State,10,,4748,FALSE,LB,50,Tulloch,"5'11""",,,,,Killian (FL),,e4a19da6-a95d-47b1-a8ae-cbaad5777487,7865,14,384,#StephenTulloch-NFL-FA-50,tulloch,Stephen,,9702,1985-01-01,stephen,,,,,stephentulloch,,3936,,,,9999999,,,Stephen Tulloch,35
11,196,Inactive,nfl,K,Oklahoma,11,,,FALSE,K,8,Hartley,"5'8""",,,,,,,83f8a30f-829f-4928-9816-7497ce6339c7,9222,7,418,#GarrettHartley-NFL-FA-8,hartley,Garrett,,11543,1986-05-16,garrett,,,,,garretthartley,,,,,,9999999,,,Garrett Hartley,31
12,300,Active,nfl,OL,Southern California,12,,5294,TRUE,C,55,Kalil,"6'2""",,,,,Servite (CA),,d503e3cf-861d-4b06-8de8-f66b1b72a3bf,8313,13,423,#RyanKalil-NFL-FA-55,kalil,Ryan,,10503,1985-03-29,ryan,1.57397E+12,00-0025446,,,ryankalil,,4189,,,,9999999,,,Ryan Kalil,35
13,222,Active,nfl,P,Nebraska,13,,7073,TRUE,P,4,Koch,"6'1""",,,,,Seward (NE),BAL,544e4159-3da3-47ad-866c-bf48d7634f25,7952,15,430,#SamKoch-NFL-BAL-4,koch,Sam,,9789,1982-08-13,sam,1.61023E+12,00-0024417,,,samkoch,,,,,,9999999,,,Sam Koch,38
14,202,Inactive,nfl,WR,South Carolina,14,,,FALSE,WR,18,Rice,"6'3""",,,,,,,,,7,459,#SidneyRice-NFL-FA-18,rice,Sidney,,,1986-09-01,sidney,,,,,sidneyrice,,,,,,9999999,,,Sidney Rice,31
15,240,Inactive,nfl,LB,Mississippi,15,,,FALSE,ILB,52,Willis,"6'1""",,,,,,,f27783fb-52a4-47a1-a096-20e67a983b4c,,8,511,#PatrickWillis-NFL-FA-52,willis,Patrick,,10455,1985-01-25,patrick,,,,,patrickwillis,,4171,,,,9999999,,,Patrick Willis,32
16,212,Inactive,nfl,RB,Rutgers,16,,,FALSE,RB,27,Rice,"5'8""",,,,,,,712617bb-3379-46e9-86c6-af1c098e0a72,,6,547,#RayRice-NFL-FA-27,rice,Ray,,,1987-01-22,ray,,,,,rayrice,,,,,,9999999,,,Ray Rice,31
17,201,Active,nfl,K,Central Florida,17,,5051,TRUE,K,5,Prater,"5'10""",,,,,Estero (FL),ARI,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,15,549,#MattPrater-NFL-ARI-5,prater,Matt,,11122,1984-08-10,matt,1.61613E+12,00-0023853,,,mattprater,K,4502,1,,218237,170,,,Matt Prater,36
18,316,Inactive,nfl,OL,Boston College,18,,5711,FALSE,T,78,Cherilus,"6'7""",,,,,Somerville (MA),,d552daac-a3c9-42e0-84f9-cbbe42b8be01,8794,12,558,#GosderCherilus-NFL-FA-78,cherilus,Gosder,,11251,1984-06-28,gosder,,,,,gosdercherilus,,,,,,9999999,,,Gosder Cherilus,36
19,245,Active,nfl,QB,Delaware,19,,5648,TRUE,QB,5,Flacco,"6'6""",,,,,Audubon (NJ),PHI,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795,13,611,#JoeFlacco-NFL-PHI-5,flacco,Joe,,11252,1985-01-16,joe,1.61661E+12,00-0026158,,,joeflacco,QB,4677,2,,216342,548,,,Joe Flacco,36
20,255,Inactive,nfl,LB,Idaho State,20,,3996,FALSE,DE,69,Allen,"6'6""",,,,,Los Gatos (CA),,c7699c7c-07c0-479b-977c-33e74327b946,6885,16,622,#JaredAllen-NFL-FA-69,allen,Jared,,5651,1982-04-03,jared,,,,,jaredallen,,2837,,,,9999999,,,Jared Allen,38
21,323,Inactive,nfl,DL,Texas A&M,21,,6367,FALSE,DE,71,Bryant,"6'4""",,,,,Jasper (TX),,742397f3-c997-44b7-9ff4-63007afec291,8901,12,678,#RedBryant-NFL-FA-71,bryant,Red,,11358,1984-04-18,red,,,,,redbryant,,,,,,9999999,,,Red Bryant,36
22,265,Inactive,nfl,LB,Michigan,22,,5317,FALSE,LB,56,Woodley,"6'2""",,,,,Saginaw (MI),,d9f95cb5-2563-4119-91c5-841b0f2d4bb8,8300,13,711,#LaMarrWoodley-NFL-FA-56,woodley,LaMarr,,10490,1984-11-03,lamarr,,,,,lamarrwoodley,,,,,,9999999,,,LaMarr Woodley,35
23,263,Active,nfl,TE,Tennessee,23,,3086,TRUE,TE,82,Witten,"6'6""",,,,,Elizabethton (TN),LV,e38c9b1b-7c51-48a2-ac1d-a752502e8930,6405,18,722,#JasonWitten-NFL-LV-82,witten,Jason,,4527,1982-05-06,jason,1.61179E+12,00-0022127,,,jasonwitten,,1990,,,184571,378,,,Jason Witten,38
24,217,Active,nfl,QB,Boston College,24,,5610,TRUE,QB,2,Ryan,"6'4""",,,,,Penn (PA),ATL,7e648a0b-fdc8-4661-a587-5826f2cac11b,8780,13,732,#MattRyan-NFL-ATL-2,ryan,Matt,,11237,1985-05-17,matt,1.6124E+12,00-0026143,,,mattryan,QB,4637,1,,216263,82,,,Matt Ryan,35
25,248,Inactive,nfl,RB,Furman,25,,5784,FALSE,FB,42,Felton,"6'0""",,,,,Sequoya (TN),,865740d9-3838-4733-a0eb-52193f101c32,8912,12,733,#JeromeFelton-NFL-FA-42,felton,Jerome,,11369,1986-07-03,jerome,,,,,jeromefelton,,,,,253055,9999999,,,Jerome Felton,34
26,205,Inactive,nfl,DB,Alabama,26,,4968,FALSE,SS,41,Harper,"6'1""",,,,,Prattville (AL),,682a7396-9280-487f-aabf-561d0334bddd,7792,14,734,#RomanHarper-NFL-FA-41,harper,Roman,,9629,1982-12-11,roman,,,,,romanharper,,3697,,,,9999999,,,Roman Harper,37
27,250,Inactive,nfl,LB,Tennessee,27,,5604,FALSE,LB,51,Mayo,"6'1""",,,,,Kecoughtan HS (VA),,28a2a255-9227-4a5f-a4ec-0ee4b2bf629b,8787,12,761,#JerodMayo-NFL-FA-51,mayo,Jerod,,11244,1986-02-23,jerod,,,,,jerodmayo,,4804,,,,9999999,,,Jerod Mayo,34
28,197,Inactive,nfl,DB,Texas,28,,,FALSE,CB,38,Ross,"6'0""",,,,,,,fef6074b-6053-482e-a1e9-9577f3a394b1,,8,796,#AaronRoss-NFL-FA-38,ross,Aaron,,10464,1982-09-15,aaron,,,,,aaronross,,,,,,9999999,,,Aaron Ross,34
29,322,Inactive,nfl,DL,Florida State,29,,5794,FALSE,NT,98,Guion,"6'4""",,,,,Bradford (FL),,2fd4116c-52de-41f5-9f30-16614eb424c4,8929,12,804,#LetroyGuion-NFL-FA-98,guion,Letroy,,11386,1987-06-21,letroy,,,,,letroyguion,,4903,,,296455,9999999,,,Letroy Guion,33
30,310,Inactive,nfl,OL,Virginia,30,,4999,FALSE,T,60,Ferguson,"6'6""",,,,,Freeport (NY),,614b6a41-94bf-4a6c-8635-079ff791fd4f,7753,14,805,#DBrickashawFerguson-NFL-FA-60,ferguson,D'Brickashaw,,9590,1983-12-10,dbrickashaw,,,,,dbrickashawferguson,,3620,,,,9999999,,,D'Brickashaw Ferguson,36
31,250,Inactive,nfl,DL,Louisville,31,,4913,FALSE,DE,58,Dumervil,"5'11""",,,,,Miami-Jackson (FL),,854a4f9f-fd7d-406f-a545-b23e3f16a201,7875,14,832,#ElvisDumervil-NFL-FA-58,dumervil,Elvis,,9712,1984-01-19,elvis,1.53564E+12,,,,elvisdumervil,,3941,,,219063,9999999,,,Elvis Dumervil,36
32,230,Inactive,nfl,TE,Kentucky,32,,5780,FALSE,TE,83,Tamme,"6'3""",,,,,Boyle Co. (KY),,e89bed19-f222-41b6-9b85-cc6cccddcd5b,8916,12,852,#JacobTamme-NFL-FA-83,tamme,Jacob,,11373,1985-03-15,jacob,1.51172E+12,,,,jacobtamme,,4885,,,225194,9999999,,,Jacob Tamme,35
33,217,Inactive,nfl,DB,Miami,33,,,FALSE,SS,38,Phillips,"6'2""",,,,,Miami Carol City (FL),,391881cd-4f9f-49c8-ba78-10ce74728f6d,8808,12,880,#KennyPhillips-NFL-FA-38,phillips,Kenny,,11265,1986-11-24,kenny,,,,,kennyphillips,,,,,,9999999,,,Kenny Phillips,33
34,215,Inactive,nfl,RB,Illinois,34,,5517,FALSE,RB,39,Thomas,"5'11""",,,,,TF South (IL),,e2782d05-3e61-4c4f-93a6-70eed054e5ba,8561,13,957,#PierreThomas-NFL-FA-39,thomas,Pierre,,10713,1984-12-18,pierre,,,,,pierrethomas,,4503,,,215734,9999999,,,Pierre Thomas,35
35,238,Inactive,nfl,LB,California,35,,5944,FALSE,ILB,0,Bishop,"6'2""",,,,,,,f8155833-0f2f-4237-bdac-98e1a5c67651,8446,8,1003,#DesmondBishop-NFL-FA-0,bishop,Desmond,,10635,1984-07-24,desmond,,,,,desmondbishop,,,,,,9999999,,,Desmond Bishop,33
36,235,Inactive,nfl,QB,Boston College,36,,949,FALSE,QB,8,Hasselbeck,"6'4""",,,,,Xaverian Brothers (MA),,7d8eba61-208d-4d91-86cd-704ad05cb7f4,4416,22,1034,#MattHasselbeck-NFL-FA-8,hasselbeck,Matt,,1575,1975-09-25,matt,,,,,matthasselbeck,,519,,,24535,9999999,,,Matt Hasselbeck,44
37,278,Inactive,nfl,WR,Georgia,37,,5200,FALSE,DE,95,Johnson,"6'2""",,,,,Hawkinsville (GA),,f4baa4a3-8548-4cc1-bba8-e5e8d5d4656e,8337,13,1061,#CharlesJohnson-NFL-FA-95,johnson,Charles,,10527,1986-07-10,charles,1.53496E+12,,,,charlesjohnson,,4245,,,263156,9999999,,,Charles Johnson,34
38,303,Inactive,nfl,OL,Oklahoma,38,,5025,FALSE,G,65,Chester,"6'3""",,,,,Tustin (CA),,a25feaa2-93f5-4236-9d07-696b371af3d6,7805,14,1066,#ChrisChester-NFL-FA-65,chester,Chris,,9642,1983-01-12,chris,,,,,chrischester,,3702,,,,9999999,,,Chris Chester,37
39,240,Inactive,nfl,LB,North Carolina State,39,,4904,FALSE,LB,91,Lawson,"6'5""",,,,,Eastern Wayne (NC),,d776dd93-2e9a-4009-95d8-81bf89f89085,7771,14,1141,#MannyLawson-NFL-FA-91,lawson,Manny,,9608,1984-07-03,manny,,,,,mannylawson,,3692,,,,9999999,,,Manny Lawson,36
40,275,Inactive,nfl,TE,Texas A&M,40,,5709,FALSE,TE,88,Bennett,"6'6""",,,,,Alief Taylor (TX),,0ca741f8-58bd-4933-9d5c-0e04de3f4cff,8838,12,1181,#MartellusBennett-NFL-FA-88,bennett,Martellus,,11295,1987-03-10,martellus,1.553E+12,00-0026201,,,martellusbennett,,4639,,,302238,9999999,,,Martellus Bennett,33
41,239,Inactive,nfl,QB,East Carolina,41,,,FALSE,QB,9,Garrard,"6'2""",,,,,,,,,10,1185,#DavidGarrard-NFL-FA-9,garrard,David,,,1978-02-14,david,,,,,davidgarrard,,,,,,9999999,,,David Garrard,39
42,280,Active,nfl,DL,Southern California,42,,5030,TRUE,DE,98,Rucker,"6'3""",,,,,Tustin (CA),,36648f14-5fe5-40f3-ade1-ef53c8f93bdf,7840,14,1214,#FrosteeRucker-NFL-FA-98,rucker,Frostee,,9677,1983-09-14,frostee,1.54043E+12,00-0024306,,,frosteerucker,,,,,157135,9999999,,,Frostee Rucker,37
43,313,Inactive,nfl,OL,Southeast Missouri State,43,,,FALSE,G,63,Connolly,"6'4""",,,,,,,b30e620b-1f67-450f-a499-95f59808baac,,9,1215,#DanConnolly-NFL-FA-63,connolly,Dan,,9298,1982-09-02,dan,,,,,danconnolly,,,,,,9999999,,,Dan Connolly,34
44,259,Inactive,nfl,LB,Virginia,44,,5108,FALSE,LB,55,Brooks,"6'3""",Sus,,,,Hylton (VA),,22f9e814-6daa-4fe6-982e-c2cc5290561d,8006,14,1248,#AhmadBrooks-NFL-FA-55,brooks,Ahmad,,10138,1984-03-14,ahmad,1.53697E+12,00-0024495,,,ahmadbrooks,,3682,,,215678,9999999,,,Ahmad Brooks,36
45,228,Inactive,nfl,K,Montana,45,,5882,FALSE,K,2,Carpenter,"6'2""",,,,,Helena (MT),,d944ce13-2c90-4655-890c-5dac028a130c,9032,12,1269,#DanCarpenter-NFL-FA-2,carpenter,Dan,,11688,1985-11-25,dan,,,,,dancarpenter,,5007,,,262373,9999999,,,Dan Carpenter,34
46,215,Inactive,nfl,DB,Texas,46,,5367,FALSE,FS,22,Griffin,"6'0""",,,,,Bowie (TX),,a7a09040-0fcc-41fe-a1ef-08963913be5f,8273,13,1286,#MichaelGriffin-NFL-FA-22,griffin,Michael,,10463,1985-01-04,michael,1.52566E+12,,,,michaelgriffin,,,,,,9999999,,,Michael Griffin,35
47,240,Inactive,nfl,RB,Houston,47,,,FALSE,FB,44,Battle,"6'2""",,,,,,,192e6f3d-c0d0-474e-b102-7b6a9c5743d3,,7,1362,#JackieBattle-NFL-FA-44,battle,Jackie,,11197,1983-10-01,jackie,,,,,jackiebattle,,,,,,9999999,,,Jackie Battle,33
48,242,Inactive,nfl,LB,Kent State,48,,4291,FALSE,LB,92,Harrison,"6'0""",,,,,Coventry (OH),,aeca5ea8-967c-4113-9c7a-2d7b91a84b1e,6314,18,1370,#JamesHarrison-NFL-FA-92,harrison,James,,4433,1978-05-04,james,1.52389E+12,,,,jamesharrison,,665,,,183237,9999999,,,James Harrison,42
49,190,Active,nfl,K,Penn State,49,,4686,TRUE,K,9,Gould,"6'0""",,,,,Central Mountain (PA),SF,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7520,16,1410,#RobbieGould-NFL-SF-9,gould,Robbie,,9354,1982-12-06,robbie,1.61066E+12,00-0023252,,,robbiegould,PK,3519,1,,167377,159,,,Robbie Gould,38
50,229,Inactive,nfl,QB,Texas-El Paso,50,,,FALSE,QB,5,Palmer,"6'6""",,,,,,,f4bb8ed1-d8cd-4e8c-97ca-60d299fa30ce,,5,1482,#JordanPalmer-NFL-FA-5,palmer,Jordan,,,1984-05-30,jordan,,,,,jordanpalmer,,,,,,9999999,,,Jordan Palmer,33
51,258,Inactive,nfl,TE,Notre Dame,51,,4755,FALSE,TE,80,Fasano,"6'4""",,,,,Verona (NJ),,04eb8101-538f-44ac-ba09-ce30b5344fc2,7802,14,1545,#AnthonyFasano-NFL-FA-80,fasano,Anthony,,9639,1984-04-20,anthony,1.51518E+12,,,,anthonyfasano,,,,,217412,9999999,,,Anthony Fasano,36
52,250,Inactive,nfl,TE,Colorado State,52,,,FALSE,TE,81,Dreessen,"6'4""",,,,,,,,,8,1577,#JoelDreessen-NFL-FA-81,dreessen,Joel,,,1982-07-26,joel,,,,,joeldreessen,,,,,,9999999,,,Joel Dreessen,35
53,250,Inactive,nfl,RB,"Shippensburg, Pa.",53,,5160,FALSE,FB,29,Kuhn,"6'0""",,,,,Dover (PA),,a7152c92-426c-4c6b-9629-da63f5c60ff8,7695,15,1589,#JohnKuhn-NFL-FA-29,kuhn,John,,9530,1982-09-09,john,1.5519E+12,,,,johnkuhn,,4050,,,285900,9999999,,,John Kuhn,38
54,210,Inactive,nfl,DB,Connecticut,54,,5756,FALSE,SS,27,Branch,"6'0""",,,,,Cicero-North Syracuse (NY),,ce572d82-6f54-4317-8a1a-1c9c917972cc,8877,12,1590,#TyvonBranch-NFL-FA-27,branch,Tyvon,,11334,1986-12-11,tyvon,1.52277E+12,,,,tyvonbranch,,4871,,,267335,9999999,,,Tyvon Branch,33
55,250,Inactive,nfl,TE,Morgan State,55,,,FALSE,TE,80,Shiancoe,"6'4""",,,,,,,,,10,1614,#VisantheShiancoe-NFL-FA-80,shiancoe,Visanthe,,,1980-06-18,visanthe,,,,,visantheshiancoe,,,,,,9999999,,,Visanthe Shiancoe,37
56,195,Active,nfl,DB,Michigan,56,,5348,TRUE,CB,29,Hall,"5'11""",,,,,Vista (CA),,16340de5-372b-4c20-953f-07a0fe26be69,8272,13,1650,#LeonHall-NFL-FA-29,hall,Leon,,10462,1984-12-09,leon,1.54362E+12,00-0025405,,,leonhall,,4204,,,216026,9999999,,,Leon Hall,35
57,240,Inactive,nfl,RB,Oregon State,57,,3756,FALSE,RB,39,Jackson,"6'2""",,,,,Eldorado (NV),,3d980847-dec6-4fc1-a4bb-63bd0bfcb078,6783,16,1652,#StevenJackson-NFL-FA-39,jackson,Steven,,5549,1983-07-22,steven,,,,,stevenjackson,,1663,,,246074,9999999,,,Steven Jackson,37
58,255,Injured Reserve,nfl,TE,Miami,58,,5206,FALSE,TE,88,Olsen,"6'5""",,,,,Wayne Hills (NJ),,587d0a98-7ec5-45a5-adba-8af26e8f256b,8285,14,1658,#GregOlsen-NFL-FA-88,olsen,Greg,,10475,1985-03-11,greg,1.61152E+12,00-0025418,,,gregolsen,,4190,,,230925,302,,{override_active=false},Greg Olsen,36
59,207,Active,nfl,K,Colorado,59,,5363,TRUE,K,2,Crosby,"6'1""",,,,,Georgetown (TX),GB,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,8447,14,1694,#MasonCrosby-NFL-GB-2,crosby,Mason,,10636,1984-09-03,mason,1.61298E+12,00-0025580,,,masoncrosby,K,4182,1,,214574,389,,,Mason Crosby,36
60,302,Inactive,nfl,DL,Florida State,60,,6378,FALSE,DT,96,Fluellen,"6'2""",,,,,Cartersville (GA),,014e3f01-a75e-4714-8a77-e89a6b085e1f,8864,12,1715,#AndreFluellen-NFL-FA-96,fluellen,Andre,,11321,1985-03-07,andre,,,,,andrefluellen,,,,,,9999999,,,Andre Fluellen,35
61,188,Inactive,nfl,DB,Samford,61,,,FALSE,CB,21,Finnegan,"5'10""",,,,,Milton (FL),,9fe9d478-6884-4f2e-b74f-76d3305975e4,7964,14,1722,#CortlandFinnegan-NFL-FA-21,finnegan,Cortland,,9801,1984-02-02,cortland,,,,,cortlandfinnegan,,4035,,,,9999999,,,Cortland Finnegan,36
62,270,Inactive,nfl,LB,Cincinnati,62,,4555,FALSE,LB,58,Cole,"6'3""",,,,,Xenia (OH),,dcf82516-a1ae-4db5-8404-6ce090a59970,7322,15,1750,#TrentCole-NFL-FA-58,cole,Trent,,8560,1982-10-05,trent,1.51421E+12,,,,trentcole,,,,,,9999999,,,Trent Cole,37
63,255,Inactive,nfl,RB,East Carolina,63,,,FALSE,RB,44,Leach,"6'0""",,,,,,,,,9,1760,#VontaLeach-NFL-FA-44,leach,Vonta,,,1981-11-06,vonta,,,,,vontaleach,,,,,,9999999,,,Vonta Leach,35
64,245,Inactive,nfl,TE,Wisconsin,64,,4898,FALSE,TE,81,Daniels,"6'3""",,,,,Naperille Central (IL),,7e5ce2d0-6487-4a9f-83b6-634886ee78f3,7847,14,1810,#OwenDaniels-NFL-FA-81,daniels,Owen,,9684,1982-11-09,owen,,,,,owendaniels,,,,,156817,9999999,,,Owen Daniels,37
65,197,Inactive,nfl,WR,Akron,65,,,FALSE,WR,87,Hixon,"6'2""",,,,,,,,,8,1854,#DomenikHixon-NFL-FA-87,hixon,Domenik,,,1984-10-08,domenik,,,,,domenikhixon,,,,,,9999999,,,Domenik Hixon,32
66,212,Inactive,nfl,RB,Georgia Tech,66,,,FALSE,RB,43,Choice,"5'10""",,,,,,,,,6,1891,#TashardChoice-NFL-FA-43,choice,Tashard,,,1984-11-20,tashard,,,,,tashardchoice,,,,,,9999999,,,Tashard Choice,32
67,330,Inactive,nfl,DL,Auburn,67,,5601,FALSE,DT,92,Sims,"6'2""",,,,,Dillard (FL),,1f20aaed-7f06-45c8-a868-bb5fee0be950,8854,12,1903,#PatSims-NFL-FA-92,sims,Pat,,11311,1985-11-29,pat,1.51184E+12,,,,patsims,,,,,263116,9999999,,,Pat Sims,34
68,185,Inactive,nfl,WR,Michigan,68,,,FALSE,WR,86,Manningham,"6'0""",,,,,,,21d172c4-1c74-44b8-9131-aee05a2beb60,,7,1904,#MarioManningham-NFL-FA-86,manningham,Mario,,,1986-05-25,mario,,,,,mariomanningham,,,,,,9999999,,,Mario Manningham,31
69,200,Inactive,nfl,WR,Miami,69,,,FALSE,WR,89,Moss,"5'10""",,,,,,,8cef3644-bd81-4645-b5d0-0a15ea8d6548,,14,1944,#SantanaMoss-NFL-FA-89,moss,Santana,,2564,1979-06-01,santana,,,,,santanamoss,,,,,,9999999,,,Santana Moss,38
70,295,Active,nfl,OL,Central Michigan,70,,5296,TRUE,T,74,Staley,"6'5""",,,,,Rockford (MI),,4d628a09-3631-4166-85f6-45f41a74e992,8282,13,1958,#JoeStaley-NFL-FA-74,staley,Joe,,10472,1984-08-30,joe,1.58786E+12,00-0025415,,,joestaley,LT,4213,1,,,9999999,,,Joe Staley,36
71,210,Inactive,nfl,WR,Michigan,71,,4823,FALSE,WR,81,Avant,"6'0""",,,,,Carver (IL),,931650e1-49dd-4d38-a5e7-d45a11529d00,7858,14,1986,#JasonAvant-NFL-FA-81,avant,Jason,,9695,1983-04-20,jason,,,,,jasonavant,,,,,215489,9999999,,,Jason Avant,37
72,218,Inactive,nfl,WR,Eastern Michigan,72,,,FALSE,WR,87,Walter,"6'3""",,,,,,,,,11,2065,#KevinWalter-NFL-FA-87,walter,Kevin,,,1981-08-04,kevin,,,,,kevinwalter,,,,,,9999999,,,Kevin Walter,36
73,307,Inactive,nfl,OL,Ohio State,73,,5006,FALSE,C,74,Mangold,"6'4""",,,,,Archbishop Alter (OH),,64419234-82af-49fb-9c7a-098388e745b3,7778,14,2074,#NickMangold-NFL-FA-74,mangold,Nick,,9615,1984-01-13,nick,1.52397E+12,,,,nickmangold,,3647,,,,9999999,,,Nick Mangold,36
74,205,Active,nfl,DB,Delaware,74,,4677,TRUE,FS,27,Adams,"5'11""",,,,,Passaic County Technical Institute (NJ),,0f0ff562-af1c-4be8-8011-1f71e8441e00,7121,16,2104,#MikeAdams-NFL-FA-27,adams,Mike,,5893,1981-03-24,mike,1.58333E+12,00-0022247,,,mikeadams,FS,3060,2,,251343,9999999,,,Mike Adams,39
75,305,Inactive,nfl,DL,Hampton,75,,5726,FALSE,DE,98,Langford,"6'6""",,,,,Petersburg (VA),,53f8b594-314d-4f34-9444-a2b3e7eb0185,8843,12,2158,#KendallLangford-NFL-FA-98,langford,Kendall,,11300,1986-01-27,kendall,1.53599E+12,00-0026206,,,kendalllangford,,4862,,,277741,9999999,,,Kendall Langford,34
76,299,Inactive,nfl,DL,Grambling,76,,5029,FALSE,DE,97,Hatcher,"6'6""",,,,,Jena (LA),,75f4e314-a25d-4833-b39e-02014853d7bb,7841,14,2163,#JasonHatcher-NFL-FA-97,hatcher,Jason,,9678,1982-07-13,jason,,,,,jasonhatcher,,,,,,9999999,,,Jason Hatcher,38
77,249,Active,nfl,LS,Brown,77,,5347,TRUE,LS,51,DeOssie,"6'5""",,,,,Phillips Andover Academy (MA),,c38a3fbc-f9af-4676-b905-4f101a99194d,8370,13,2194,#ZakDeOssie-NFL-FA-51,deossie,Zak,,10560,1984-05-25,zak,1.59685E+12,00-0025503,,,zakdeossie,,,,,,9999999,,,Zak DeOssie,36
78,214,Inactive,nfl,RB,Marshall,78,,5267,FALSE,RB,44,Bradshaw,"5'10""",,,,,Graham (VA),,8f22eb36-5282-407a-b6f9-f9b62e5f7318,8504,13,2220,#AhmadBradshaw-NFL-FA-44,bradshaw,Ahmad,,10693,1986-03-19,ahmad,,,,,ahmadbradshaw,,4305,,,267892,9999999,,,Ahmad Bradshaw,34
79,302,Inactive,nfl,DL,"Regina, Can.",79,,9193,FALSE,DT,66,Charles,"6'5""",,,,,Eastdale Collegiate and Vocational Institute (ON),,50fd6da3-9fb3-45cf-83e8-5797f1f16308,27298,7,2232,#StefanCharles-NFL-FA-66,charles,Stefan,,16568,1988-06-09,stefan,1.56669E+12,00-0030132,,,stefancharles,,,,,733939,9999999,,,Stefan Charles,32
